Incident_Id,Year,State,Region
148099,2010,California,West
148100,2010,California,West
148101,2010,California,West
148102,2010,California,West
148103,2010,California,West
148104,2010,California,West
148105,2010,California,West
148106,2010,California,West
148107,2010,California,West
148108,2010,California,West
148109,2010,California,West
144086,2010,California,West
148110,2010,California,West
144087,2010,California,West
148111,2010,California,West
144088,2010,California,West
144089,2010,California,West
144090,2010,California,West
148112,2010,California,West
148113,2010,California,West
148114,2010,California,West
144091,2010,California,West
144092,2010,California,West
148115,2010,California,West
148116,2010,California,West
144093,2010,California,West
148117,2010,California,West
148118,2010,California,West
144094,2010,California,West
148119,2010,California,West
148120,2010,California,West
144095,2010,California,West
144096,2010,California,West
144097,2010,California,West
144098,2010,California,West
144099,2010,California,West
144100,2010,California,West
144101,2010,California,West
144102,2010,California,West
148121,2010,California,West
148122,2010,California,West
148123,2010,California,West
148124,2010,California,West
148125,2010,California,West
144103,2010,California,West
144104,2010,California,West
144105,2010,California,West
144106,2010,California,West
144107,2010,California,West
144108,2010,California,West
144109,2010,California,West
144110,2010,California,West
144111,2010,California,West
144112,2010,California,West
144113,2010,California,West
144114,2010,California,West
144115,2010,California,West
144116,2010,California,West
144117,2010,California,West
144118,2010,California,West
144119,2010,California,West
144120,2010,California,West
144121,2010,California,West
144122,2010,California,West
144123,2010,California,West
144124,2010,California,West
144125,2010,California,West
144126,2010,California,West
144127,2010,California,West
144128,2010,California,West
144129,2010,California,West
144130,2010,California,West
144131,2010,California,West
144132,2010,California,West
144133,2010,California,West
144134,2010,California,West
144135,2010,California,West
144136,2010,California,West
144137,2010,California,West
148126,2010,California,West
144138,2010,California,West
148127,2010,California,West
144139,2010,California,West
148128,2010,California,West
148129,2010,California,West
144140,2010,California,West
148130,2010,California,West
144141,2010,California,West
148131,2010,California,West
144151,2010,California,West
144152,2010,California,West
144153,2010,California,West
144154,2010,California,West
144155,2010,California,West
144156,2010,California,West
144157,2010,California,West
144158,2010,California,West
144159,2010,California,West
144160,2010,California,West
144161,2010,California,West
144162,2010,California,West
144163,2010,California,West
148135,2010,California,West
148136,2010,California,West
148137,2010,California,West
148138,2010,California,West
148139,2010,California,West
148140,2010,California,West
148141,2010,California,West
148142,2010,California,West
148143,2010,California,West
148144,2010,California,West
148145,2010,California,West
148146,2010,California,West
148147,2010,California,West
148148,2010,California,West
148149,2010,California,West
148150,2010,California,West
144164,2010,California,West
144165,2010,California,West
148151,2010,California,West
148152,2010,California,West
148153,2010,California,West
144166,2010,California,West
144167,2010,California,West
144168,2010,California,West
144169,2010,California,West
148154,2010,California,West
148155,2010,California,West
148156,2010,California,West
148157,2010,California,West
148158,2010,California,West
144170,2010,California,West
148159,2010,California,West
148160,2010,California,West
144171,2010,California,West
144172,2010,California,West
144173,2010,California,West
148161,2010,California,West
148162,2010,California,West
148163,2010,California,West
144174,2010,California,West
144175,2010,California,West
144176,2010,California,West
144177,2010,California,West
144178,2010,California,West
144179,2010,California,West
144180,2010,California,West
144181,2010,California,West
144182,2010,California,West
144183,2010,California,West
144184,2010,California,West
144185,2010,California,West
144186,2010,California,West
144187,2010,California,West
144188,2010,California,West
